Column1,Column2,Column3,Column4,Column5
index,song,artist,genre,link
1,Pallete,IU & G-Dragon,KPOP,https://www.youtube.com/watch?v=d9IxdwEFk1c
2,Faded,Alan Walker,EDM,https://www.youtube.com/watch?v=60ItHLz5WEA
3,Scared to be lonely,Martin Garrix & Dua Lipa,EDM,https://www.youtube.com/watch?v=e2vBLd5Egnk
4,Dynamite,BTS,KPOP,https://www.youtube.com/watch?v=gdZLi9oWNZg
5,Yes or Yes,Twice,KPOP,https://www.youtube.com/watch?v=mAKsZ26SabQ
6,Ánh n?ng c?a anh,??c Phúc,VPOP,https://www.youtube.com/watch?v=3UyotSd-Cp4
7,Sáng m?t ch?a,Trúc Nhân,VPOP,https://www.youtube.com/watch?v=rDhx4ejrPPA
8,Hãy trao cho anh,S?n Tùng M-TP & Snoop Dogg,Hiphop & VPOP,https://www.youtube.com/watch?v=knW7-x7Y7RE
9,Có chàng trai vi?t lên cây,Phan M?nh Qu?nh,VPOP,https://www.youtube.com/watch?v=0VC6euBtKkk
10,Và th? là h?t,Chillies,VPOP & Chill,https://www.youtube.com/watch?v=ilB9h1pfjc8
11,Renai Circulation,Kana Hanazawa,Anime,https://www.youtube.com/watch?v=uKxyLmbOc0Q
12,Mu?n r?i mà sao còn,S?n Tùng M-TP,VPOP,https://www.youtube.com/watch?v=xypzmu5mMPY
13,Click,ClariS,anime,https://zingmp3.vn/album/Nhac-Phim-Anime-Hay-Nhat-Various-Artists/6IO0FEBF.html
14,Th?i không sai l?ch,Ng?i Th?n,CPOP,https://www.youtube.com/watch?v=P9mqCv1yhBE
15,??i Thiên B?ng,L? Gia,CPOP,https://www.youtube.com/watch?v=Ce_4tafjC34
16,Nuông chi?u ??n h? h?ng,Lý Tu?n H?u & Ti?u Phan Phan,CPOP,https://www.nhaccuatui.com/bai-hat/nuong-chieu-den-hu-hong-ly-tuan-huu-li-jun-you-ft-tieu-phan-phan-xiao-pan-pan.HbH7ujBOKbHN.html
17,Ma pháp tình yêu,Kim Sa,CPOP,https://www.youtube.com/watch?v=wiOvK2BtgZ4
18,C? chill thôi,Chilles & Suni H? Linh,VPOP,https://www.youtube.com/watch?v=LZN4I3K8SC0
19,D?y tui cách yêu,Tlinh,Indie,https://www.youtube.com/watch?v=vLF12OeOYr0
20,L?i ???ng m?t,Hieuthuhai & Lyly,Hiphop & Rap,https://www.youtube.com/watch?v=aNCiM92I_g0
21,B??c qua mùa cô ??n,V?,VPOP & Indie,https://www.youtube.com/watch?v=n6Pnzi6r9NU
